Url_images,Name_page,Date_post,Descriptions,Hashtags,Username,Commentaires,Nombre_de_commentaire,Partages,J'adores,J'aimes,Solidaires,Rires,Colère,Tristes,Wouah,Url_post,Annee_post,Followers,langue_post_encoded,Text,Jour,Mois_encoded,Date,Jour_de_la_semaine_encoded,Season_encoded,Nombre_Hashtags,Sentiment_comms_BERT,langue_post_comm,Translated_Comments,Sentiment_post_encoded,Found_Hash,Longueur_caracteres_text_comments,Longueur_caracteres_text,sentiment_comments_BERT_POS,sentiment_comments_BERT_NEG,Reach,prediction_label,prediction_score
['https://scontent.ftun4-2.fna.fbcdn.net/v/t39.30808-6/394217716_726590689514617_7480545744505404073_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_ohc=2dSnOocrAYIAX9BSSxX&_nc_ht=scontent.ftun4-2.fna&cb_e2o_trans=q&oh=00_AfD1PTfTNvd8hfVuWPzohocIOqVuCo48GHeRZQFPOOTeRA&oe=655D821C'],Aramex Tunisia,23 octobre,,,"Arafet Benamor, Hassen Ouerchfani","'Slm 3andi voiture avec choufeur  b9', 'السلام  شفور خبرة'",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.facebook.com/photo.php?fbid=728752265965126&set=pb.100064910761574.-2207520000&type=3,2023,733000,0,,23.0,10,2023-10-23,1,0,0,"['POS', 'POS']","['TN', 'ar']","' Slm 3andi voiture avec choufeur  b9 ', ' Peace be upon you from experience '",0,0,58,0,2,0,0,0,1.0
['https://scontent.ftun4-2.fna.fbcdn.net/v/t39.30808-6/394030210_726590816181271_5511995303960482490_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=Y6j04PTFFBIAX9W521q&_nc_ht=scontent.ftun4-2.fna&cb_e2o_trans=q&oh=00_AfDZMnDI_5frTDjmocqMyJ96vVYrWw3kULcQKlYUCldm0A&oe=655C2AF4'],Aramex Tunisia,23 octobre,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.facebook.com/photo.php?fbid=728752262631793&set=pb.100064910761574.-2207520000&type=3,2023,733000,0,,23.0,10,2023-10-23,1,0,0,,,,0,0,0,0,0,0,0,0,1.0
['https://scontent.ftun4-2.fna.fbcdn.net/v/t39.30808-6/392744585_722666253240394_1817387970534947360_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_ohc=c7yFAxMsNSQAX-1VxUN&_nc_ht=scontent.ftun4-2.fna&cb_e2o_trans=q&oh=00_AfCoT1nsR-5Ru-8Ai72MifZMHJ7jYh4Dcbqt_TYa7yyTaw&oe=655CE38B'],Aramex Tunisia,13 octobre,[دايما على الطريق بطلبياتكمToujours en route pour vous livrer#Aramex#Tunisie#DeliveryUnlimited#Livraison,"aramex, tunisie, deliveryunlimited, livraison","Travaux Aluminium, Cheifia La Main Dor, Nero Maria, Saber Sabrouch, مروان بن ناصر","'عندي سيارتي و نحب نخدم livreur', 'كيف يتم التعامل معكم أنا في الضاحية الجنوبية ؟ الإجابة من فضلكم', 'Kifech najem net3amel m3akom', 'سلام عليكم تحبوش سائق السيارة من صنف ب', 'عندي سيارة Dacia Doker وعندي برمي Catégorie D نحب نخدم معاكم'",5.0,0.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,https://www.facebook.com/photo.php?fbid=722700143237005&set=pb.100064910761574.-2207520000&type=3,2023,733000,4,Always on the road with your orders. Toujours on the road for your delivery,13.0,10,2023-10-13,0,0,4,"['POS', 'POS', 'POS', 'POS', 'POS']","['ar', 'ar', 'TN', 'ar', 'ar']","' I have my car and we would like to service the livreur ', ' How are you treated in the southern suburb? Answer please ', ' Kifech najem net3amel m3akom ', ' Peace be upon you. Do you like the driver of a Class B car? ', ' I have a Dacia Doker car and I have a Catégorie D. We would love to serve with you.” '",2,1,237,75,5,0,0,0,1.0
['https://scontent.ftun4-2.fna.fbcdn.net/v/t39.30808-6/387776848_721348813372138_4384737357098544931_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=Q3u60Anxse0AX8-E3J1&_nc_ht=scontent.ftun4-2.fna&cb_e2o_trans=q&oh=00_AfC-Uwomec70W93HZy8eA0tWAq9Lv66_w3kupeF6bDBgFg&oe=655CF306'],Aramex Tunisia,11 octobre,[#Aramex#AramexTunisia#BreastCancerAwarenessMonth,"aramex, aramextunisia, breastcancerawarenessmonth",,,0.0,0.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,https://www.facebook.com/photo.php?fbid=721348863372133&set=pb.100064910761574.-2207520000&type=3,2023,733000,0,,11.0,10,2023-10-11,6,0,3,,,,0,1,0,0,0,0,0,0,1.0
['https://scontent.ftun4-2.fna.fbcdn.net/v/t39.30808-6/383995888_718359807004372_3131532814874280606_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=45cD5AVf5F4AX8wB6ac&_nc_ht=scontent.ftun4-2.fna&cb_e2o_trans=q&oh=00_AfAjz8bzkc6b5ASd5S16-0RVjERi8WZX2njHcgK7O-1JKw&oe=655C25B7'],Aramex Tunisia,6 octobre,"[#Aramex#AramexTunisia#DeliveryUnlimited, —àTunisie","aramex, aramextunisia, deliveryunlimited",,,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,https://www.facebook.com/photo.php?fbid=718433053663714&set=pb.100064910761574.-2207520000&type=3,2023,733000,0,,6.0,10,2023-10-06,0,0,3,,,,0,1,0,0,0,0,0,0,1.0
['https://scontent.ftun4-2.fna.fbcdn.net/v/t39.30808-6/384235881_716646857175667_4178023646858173058_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=Aniav66eJUIAX9Oa4s7&_nc_ht=scontent.ftun4-2.fna&cb_e2o_trans=q&oh=00_AfBC1Y1yLY2OSLOz2Grs-t7y-8uVSBdT6z7nkp4acv9uWw&oe=655DBCE5'],Aramex Tunisia,3 octobre,"[Connect with us to discover tailor-made solutions that bring you closer to your customers. Lets write the future together!Contactez-nous pour découvrir des solutions sur mesure qui vous rapprochent de vos clients. Ensemble, nous écrivons lavenir !#Aramex#AramexTunisia#DeliveryUnlimited","aramex, aramextunisia, deliveryunlimited",,,0.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,https://www.facebook.com/photo.php?fbid=716664400507246&set=pb.100064910761574.-2207520000&type=3,2023,733000,3,"Connect with us to discover tailor-made solutions that brg you closer to your customers. Lets write the future together!Contact us to discover tailor-made solutions that brg you closer to your customers. Together, we are writg the future!",3.0,10,2023-10-03,5,0,3,,,,2,1,0,238,0,0,0,0,1.0
['https://scontent.ftun4-2.fna.fbcdn.net/v/t39.30808-6/376902833_713438900829796_7066468477759011048_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_ohc=GwQuI6CTZbEAX-b4SL3&_nc_ht=scontent.ftun4-2.fna&cb_e2o_trans=q&oh=00_AfBqidxRsF2965EPjJIWI92DeOOCyW8rz4D6iarkpT5wTw&oe=655DACCC'],Aramex Tunisia,27 septembre,[أسرة ارامكس تتمنى لكم ذكرى مولد نبوي شريف بتمام الصحة والعافية.#Aramex#DeliveryUnlimited,"aramex, deliveryunlimited",,,0.0,1.0,8.0,22.0,0.0,0.0,0.0,0.0,0.0,https://www.facebook.com/photo.php?fbid=713521444154875&set=pb.100064910761574.-2207520000&type=3,2023,733000,2,The Aramex family wishes you the best of health and wellness on the anniversary of the Prophet’s birthday.,27.0,11,2023-09-27,6,0,2,,,,2,1,0,106,0,0,0,0,1.0
['https://scontent.ftun4-2.fna.fbcdn.net/v/t39.30808-6/376871272_1966218533738728_4121214891078774652_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_ohc=eTqL8Pi85kIAX8jEueQ&_nc_ht=scontent.ftun4-2.fna&cb_e2o_trans=q&oh=00_AfDW9uwXcRyxpDxXeM5ksCdcC8MwbSbGVjjcdt2x2CS1lQ&oe=655D8C30'],Aramex Tunisia,13 septembre,,,Saber Sabrouch,'سلام عليكم تحبوش سائق السيارة من صنف ب',1.0,0.0,7.0,31.0,0.0,0.0,0.0,0.0,0.0,https://www.facebook.com/aramextunisia/photos/pb.100064910761574.-2207520000/1966218537072061/?type=3,2023,733000,0,,13.0,11,2023-09-13,6,0,0,"['POS', 'POS']",['ar'],"' Peace be upon you', 'love the driver of a Class B car '",0,0,40,0,2,0,0,0,1.0
['https://scontent.ftun4-2.fna.fbcdn.net/v/t39.30808-6/369704137_697171335789886_6856147856105190786_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=YvdoPzW3z4AAX-cFvdI&_nc_ht=scontent.ftun4-2.fna&cb_e2o_trans=q&oh=00_AfCS2IT9Ew9lqcnSxD3zb4hrTeoPcm2wjflcN_1P4TlvPw&oe=655D4B09'],Aramex Tunisia,31 août,[Le rouge livre le vertPour en savoir plus sur nos efforts en faveur du développement durablehttps://bit.ly/3Q4EuL1#DeliveryUnlimited#AramexSustainability#Durabilité,"deliveryunlimited, aramexsustainability, durabilité",,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,https://www.facebook.com/photo.php?fbid=697198029120550&set=pb.100064910761574.-2207520000&type=3,2023,733000,4,Red delivers greenLearn more about our sustaability effortshttps://bit.ly/3Q4EuL1,31.0,1,2023-08-31,4,2,3,,,,2,1,0,81,0,0,0,0,1.0
['https://scontent.ftun4-2.fna.fbcdn.net/v/t39.30808-6/369600749_694116432762043_7424149586689656319_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_ohc=5UYs08n7hjAAX_HtPMq&_nc_ht=scontent.ftun4-2.fna&cb_e2o_trans=q&oh=00_AfCSfSHXRlMpde5Zod4H_VJ2q2FeqrCBB-xxXSRYgIQXwg&oe=655BF9D9'],Aramex Tunisia,28 août,"[Besoin de services de fret fiables ? Ne cherchez plus, choisissez Aramex !Avec Aramex, profitez dun service de fret porte-à-porte qui comprend le dédouanement, la documentation et une équipe dédiée pour le suivi de vos envois. Nous prenons en charge toutes les étapes dès l’enlèvement jusquà livraison pour vous faciliter la vie.De l’import a l’export, notre expertise en fret aérien, maritime et routier vous assure des livraisons sécurisées et ponctuelles. Peu importe l’origine ou la destination, nous gérons le processus logistique, en veillant à ce que vos marchandises arrivent à temps.Notre équipe de service client dévouée est là pour vous accompagner. Nous sommes là pour répondre à toutes vos questions et vous fournir un suivi personnalisé.Prêt à expédier vos marchandises? Contactez-nous dès maintenant pour en savoir plus sur notre service Fret !: ALL_CAS_Social@aramex.com#Aramex#Maroc#Morocco#DeliveryUnlimited#Livraison#Transport#Logistique#InternationalExpress#Domestique#Ecommerce#Artisanat#Fret#FretAérien#FretRoutier#FretMaritimeVoir moins, —àTunisie","aramex, maroc, morocco, deliveryunlimited, livraison, transport, logistique, internationalexpress, domestique, ecommerce, artisanat, fret, fretaérien, fretroutier, fretmaritime",,,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,https://www.facebook.com/photo.php?fbid=695542565952763&set=pb.100064910761574.-2207520000&type=3,2023,733000,4,"Need reliable freight services? Look no further, choose Aramex! With Aramex, enjoy a door-to-door freight service that cludes customs clearance, documentation and a dedicated team to track your shipments. We take care of all stages from collection to delivery to make your life easier. From import to export, our expertise air, sea and road freight ensures secure and punctual deliveries. No matter the orig or destation, we manage the logistics process, ensurg your goods arrive on time. Our dedicated customer service team is here to support you. We are here to answer all your questions and provide you with personalized follow-up. Ready to ship your goods? Contact us now to fd out more about our Freight service!: ALL_CAS_Social@aramex.com less Tunisia",28.0,1,2023-08-28,1,2,15,,,,2,1,0,757,0,0,0,0,1.0
